Set3_names,Set3_startSample,Set3_endSample
Sub3/fig001.png,7680,15359
Sub3/fig002.png,15360,23039
Sub3/fig003.png,23040,30719
Sub3/fig004.png,30720,38399
Sub3/fig005.png,38400,46079
Sub3/fig006.png,46080,53759
Sub3/fig007.png,53760,61439
Sub3/fig008.png,61440,69119
Sub3/fig009.png,69120,76799
Sub3/fig010.png,76800,84479
Sub3/fig011.png,84480,92159
Sub3/fig012.png,92160,99839
Sub3/fig013.png,99840,107519
Sub3/fig014.png,107520,115199
Sub3/fig015.png,115200,122879
Sub3/fig016.png,122880,130559
Sub3/fig017.png,130560,138239
Sub3/fig018.png,138240,145919
Sub3/fig019.png,145920,153599
Sub3/fig020.png,153600,161279
Sub3/fig021.png,161280,168959
Sub3/fig022.png,168960,176639
Sub3/fig023.png,176640,184319
Sub3/fig024.png,184320,191999
Sub3/fig025.png,192000,199679
Sub3/fig026.png,199680,207359
Sub3/fig027.png,207360,215039
