workerId,myHits,turkHits,missing
A1YJKLVJW1FE33,1.0,1,0
AWNM52DDYXJDN,0.0,0,0
A3RS7UCO7CQ74R,0.0,0,0
A187TVQ98O0FN2,1.0,1,0
AV9DXPK6257P9,0.0,0,0
A86GVZDTI15V0,1.0,2,1
A1M5HM7AQRO21E,0.0,0,0
AMPMTF5IAAMK8,1.0,1,0
A1M9HUOS9S8A15,36.0,38,2
A3IPMCB9WI5B3M,1.0,4,3
A285E5FTA8GGID,0.0,0,0
A29U4ZQRLMIB61,1.0,1,0
A2SI2XQA7HPR8V,2.0,2,0
A3RHGIM99R25Q9,2.0,2,0
A29UJ06SJCK6NP,1.0,2,1
A12QNECG6J8NP7,1.0,1,0
A3S2CI33U988P7,1.0,2,1
A21JUE8ZZI6OI1,1.0,3,2
A21OWOK74G9M9K,1.0,1,0
A1XSL223UP6NMI,0.0,1,1
A37AJI03M37NPJ,5.0,6,1
A3L0I55SEJU1HJ,0.0,0,0
AA9V4NE8SOA4I,0.0,0,0
A1ITVW9X735K38,1.0,1,0
A1EQ2HDHF2WWSY,1.0,2,1
ACH1OWFO70KLI,0.0,0,0
A3MPOA8ADGZKBC,0.0,1,1
AWJQCGGSPX073,0.0,0,0
A389KAGDNVULOJ,1.0,1,0
A2NT8U7GSYGISJ,0.0,0,0
A2C2WXXKJOLCZ2,1.0,1,0
A387DQOPOPXSBX,0.0,0,0
A328TBFHHQ3HT8,1.0,1,0
A2PXJTMWGUE5DC,0.5,0,0
A131Y06MNDD7ZI,0.0,0,0
A37PBOUXGARPML,5.0,6,1
A1CUTQUSPA2DPU,1.0,1,0
A208XIV14IN6VQ,0.0,0,0
A3N5P5VO81FIJ6,4.0,4,0
A3LC455KQHELDP,1.0,1,0
A1KCK9I7GD6KAU,0.0,0,0
A3KOIOW6LAKI95,1.0,2,1
A17ELSQUMU0QT6,0.0,0,0
ABC9U6U3JAG4U,1.0,1,0
A36SM7QM8OK3H6,0.0,1,1
A2R2YZTSME1K3F,1.0,1,0
A1UGD2VEVSML1U,1.0,1,0
A2JPCV5RPNYNEV,1.0,1,0
A38447E1ACQHGR,1.0,1,0
AU3327LWY4SU1,0.0,0,0
A1S5ORTU63WW9B,0.0,0,0
A3K5YBCBVBM3RY,0.0,0,0
A2ZRF4I5RTKN7G,0.0,1,1
A610SH5RY1NG1,6.0,6,0
AIM0C4PU1ES2V,1.0,1,0
ABI1EI8UQK6LK,0.0,4,4
ARMGNUJBUW582,0.0,0,0
A2Q006N8NLIFZ5,0.0,0,0
A1FGKIKJYSL1MI,2.0,3,1
A3UZXHPZMR5JMT,1.0,1,0
A1640H4RXH8NZE,0.0,0,0
A2PGTCN71FKOYF,1.0,1,0
AR72L0JX4D03W,1.0,81,80
A1KFGU5623A7H,0.0,0,0
A1XIQLGEV1RWX5,1.0,1,0
A3HKIIASOBMNO2,0.0,0,0
AB1RF17U3HM3W,4.0,5,1
A3M0USQA0RQZ7D,1.0,1,0
A3NRGIQSHCLOV3,0.0,0,0
A2S96ZZ70YFPSK,0.0,0,0
A1SG85M8W4G6F2,0.0,1,1
AJFVK3O1D7SPE,0.0,1,1
A10SXOF5C2FBM6,2.0,3,1
A3LC1KRWMHUH9I,1.0,1,0
A3UV55HC87DO9C,11.0,12,1
AW0IWJHAE6IES,0.5,0,0
A2DY2ECWL56QG3,0.0,0,0
A11BIQ0QEUK0UV,0.0,0,0
A65D3WVGHQUHO,0.0,1,1
A35IEM9AICHLN0,5.0,5,0
A224B7BAQ0MZSN,1.0,1,0
A2FM8SMQNN1QPW,0.0,0,0
A2YCMT5BPA0AG9,0.0,0,0
A1L5POL3XBK41O,0.0,0,0
A3TG7IASNFKDIF,1.0,1,0
A3F0NFNLOLFJT0,0.0,0,0
AAC5XT7UY7B2K,0.0,1,1
A24LC97AU3QC7G,0.0,1,1
A1PMJ7AIQ3ZHKG,0.0,0,0
A30D8MIQNPEC5V,0.0,1,1
AVK5TPNWVO8UP,0.0,7,7
A3JQ3BJZWN8R38,1.0,1,0
A381CKTZNH443H,1.0,1,0
A1VLWJXAXHQM35,1.0,1,0
A3EWDXFZ5D74DD,0.5,1,1
A2QEVP5YWBCG8T,1.0,1,0
A1GMJZUQ8Q7053,5.0,6,1
AJ1TSAH4PA0VL,0.0,1,1
AG3U3XPWYPOMG,1.0,1,0
AKC8ML3GY2ZON,0.0,0,0
A3ROYUO9LWA22S,0.0,0,0
AHXAD9BGAJBFA,0.0,0,0
A11XQ4EVIPZF0F,0.0,1,1
A2FGP5K2VWW23G,0.0,0,0
A2R819T7EYBI95,1.0,1,0
A324FQ64NCN2YS,1.0,1,0
A2MIOF3QNY3Y70,10.0,12,2
A1YTD2P7H4QXL2,1.0,1,0
A3LZCR1FDVSVQ8,0.0,0,0
AG1DMFPZOMCJ2,1.0,1,0
A37V9448SNPPQG,0.0,1,1
A24H4D0R8B7LBM,0.0,1,1
A31K146G2ZKVML,1.0,1,0
A2ZF006LBC50BL,1.0,1,0
AE861G0AY5RGT,1.0,1,0
ARX0S1CIDJLOX,1.0,1,0
AI8IOI0B22IKE,0.0,1,1
A3AI68D9HYI1JO,0.0,0,0
A2WF8JGMNB4UEN,1.0,1,0
A118DWOXWSI8VC,4.0,5,1
A2JUIW09ZP5KFS,0.0,1,1
A4T1X0PO5N1G9,0.0,0,0
